Company Name,Price,Volume,MACD hist,ADX,ATR,EMA 200,RSI,Stochastic Oscillator,MACD hist sloap*,EMA 200 Sloap
ABB India Ltd.,8422.2001953125,163314,81.37428852343976,63.57718687412978,232.86331838834872,5426.409774521294,77.97754697717745,90.60219982378672,-23.700760744152205,0.0035748908529709563
ACC Ltd.,2609.25,746571,19.873467097934416,18.513975273098342,66.347986163953,2287.9294704291756,63.4326067955738,83.83394752358491,2.3534395338400245,0.0012376552863805036
APL Apollo Tubes Ltd.,1694.25,508257,13.632662925651353,14.461135519722161,49.71780744283632,1525.5825990691915,67.686200885506,88.0303681059094,-1.6496436463552193,0.0010005310657215587
AU Small Finance Bank Ltd.,620.6500244140625,1972136,-2.7406619154922662,20.788954450433568,16.663900215404375,670.0491681155177,49.919994909153935,36.612072281602074,0.5108394208558797,-0.0007999255401843236
Adani Energy Solutions Ltd.,1106.699951171875,2558335,10.541166017506626,18.91591046674688,37.2705631754804,,66.00148065512799,73.9012018921887,1.690736233766355,
Adani Enterprises Ltd.,3384.949951171875,3473668,57.043391587484585,28.067658920284885,103.58909164249408,2873.81322025784,71.24713153556075,89.61314578030026,8.411989512792175,0.0015176155175416705
Adani Green Energy Ltd.,1926.6500244140625,2928305,19.474208538099436,19.477125698027184,63.46239185371764,1527.0751350149462,65.88692518659444,92.26644443393167,2.659902945889602,0.0020843578144833777
Adani Ports and Special Economic Zone Ltd.,1416.0999755859375,19100263,13.881261177983134,17.687805377904446,42.259824701486345,1113.5930390659585,64.10116768983488,84.33904904442586,0.29508874236307037,0.0021469322584628213
Adani Power Ltd.,707.0,4944197,10.291764884616729,24.728503398841664,26.46518623491578,494.5775378089783,74.55562445622708,90.88453597200872,0.29546582415813916,0.003019659289247175
Adani Total Gas Ltd.,979.75,4025566,10.294469749178688,16.721694281112683,32.40041534894436,863.964319528776,65.88897031789548,85.05858936502392,2.421285904062131,0.0011877266451802136
Aditya Birla Capital Ltd.,228.5500030517578,14091150,-0.6913460337822386,25.16747867144245,7.590480328893391,189.0699540987175,61.781409393714824,82.2810875450927,0.2761404370020015,0.001736094536382483
Aditya Birla Fashion and Retail Ltd.,290.04998779296875,15602891,2.2348033832832552,34.144295484580034,10.759934782907294,230.83109229145188,74.0596573327523,96.03748919633458,0.5487681001302267,0.002051938644915699
Alkem Laboratories Ltd.,5451.64990234375,145147,34.785739312651486,32.42911192751667,162.3598229393101,4603.815309183142,67.0883808218787,81.80453092704987,-2.1466073742160603,0.0015630040148704712
Ambuja Cements Ltd.,635.2999877929688,4865705,3.961678846585255,15.610919175280966,18.484491411786784,540.8928954283118,58.44652906348512,75.27124222420366,-0.12043317306408907,0.0014934912905255995
