Company Name,Price,Volume,MACD hist,ADX,ATR,EMA 200,RSI,Stochastic Oscillator,MACD hist sloap*,EMA 200 Sloap
ABB India Ltd.,8445.900390625,15654,-1.0497675052900428,16.628311772145185,29.038199444171862,8206.503471417096,54.96953170420411,72.60562169379065,2.5282946552214995,0.0002848718403890997
ACC Ltd.,2612.89990234375,66826,-4.419421579941617,29.67997092544416,12.892272630640647,2533.7293007320986,48.995660903942955,34.630610318791945,0.5785477588019576,0.0003045215921184817
APL Apollo Tubes Ltd.,1694.25,46473,0.17858776948579225,16.673462887889116,9.552475985007536,1664.222932619837,49.20234425042347,51.48747171708707,0.32920607766863963,0.000178119859324222
AU Small Finance Bank Ltd.,621.0,131294,-0.01717594810681966,27.974757937684128,1.9093227096354177,620.0340228418277,59.26849116495609,83.6541621672379,-0.0023125628390459063,1.5633354504806215e-05
Adani Energy Solutions Ltd.,1106.949951171875,123899,-2.8708027480059273,35.18526660931037,7.915905573818408,1068.5516640640797,42.11977543886554,14.711975929454145,0.01822768383631468,0.00034862681265361876
Adani Enterprises Ltd.,3381.0,159082,-11.129324344495664,38.03286034238068,23.432505014827164,3158.8644432952606,47.96521751987656,16.949152542372882,0.25878577102536937,0.000660312971853503
Adani Green Energy Ltd.,1924.0,246586,-2.166308236002328,28.346655721983602,10.92785581116119,1853.0228879801675,53.85662365058151,51.070263328828794,-0.10996726347764962,0.0003707576971126035
Adani Ports and Special Economic Zone Ltd.,1416.9000244140625,237080,-2.5220905319127374,15.16366684400086,8.092603629532785,1370.4363510253718,45.30514216305337,22.02736466389054,0.1370414220043159,0.000329572717764149
Adani Power Ltd.,706.8499755859375,465879,-1.2991545622014247,35.709167648982095,3.8659239887541466,670.7169363530858,41.02667201199848,24.25511136968085,0.00839598863290214,0.0005137527558692148
Adani Total Gas Ltd.,981.1500244140625,170021,-3.1646590180605783,42.70059203565875,6.463125225704177,937.2459595394988,48.766949192078705,23.379816047132625,0.038088023275073546,0.0004497241728399505
Aditya Birla Capital Ltd.,230.25,1288205,-0.1935033109809583,35.81499732728624,1.275667757172035,224.7863389204545,59.94376031965824,86.4196879674178,0.13338978954049463,0.0002384849799288327
Aditya Birla Fashion and Retail Ltd.,290.04998779296875,568890,0.053009906214236846,31.82159149487408,2.0596106622667536,274.00763490670516,68.62660904266349,71.31765340449391,0.0019073477351712054,0.0005558685882931112
Alkem Laboratories Ltd.,5465.0,20678,-3.218787893513886,41.44619181494634,24.52266869441498,5315.313412225353,59.04806841540386,47.395815672578074,1.110143654969562,0.00027527681918221146
Ambuja Cements Ltd.,636.9500122070312,233743,-0.311187888621566,29.103251183908924,4.1863387614224425,625.3540328405433,47.42576757160397,57.94389324733898,0.28123075901555117,0.00018296962707034078
Apollo Hospitals Enterprise Ltd.,5914.35009765625,66199,2.0834906641599944,16.558360497924756,22.245029390640305,5912.318077357142,51.048724226514594,32.63042271892538,-0.02186437256901952,3.4530107664569087e-06
Apollo Tyres Ltd.,481.0,156383,-0.40533381670494584,18.499332000726042,1.8592582484828626,484.8018082601367,36.91104004046606,7.194231968314466,-0.1669412422069936,-7.943685705313158e-05
Ashok Leyland Ltd.,210.5500030517578,2332040,-0.5567097040135089,36.78180818313489,2.281816417229286,207.41357201310828,43.17678685450393,26.05045141618123,-0.08179471846310937,0.00014971227513439092
Asian Paints Ltd.,2870.0,59327,-1.1004328804010255,21.785662993557818,8.41492288818675,2862.4823271402943,37.81811461727889,11.15245684413062,0.01182190086682633,2.632561014023967e-05
Astral Ltd.,2150.0,47859,-1.5328236517894087,23.828436168307455,8.842192613819902,2148.033723127281,60.00006774518566,56.83067399541064,0.2214080926434061,9.191430981445592e-06
Aurobindo Pharma Ltd.,1235.050048828125,93242,-0.661489904521313,20.058239489281597,5.442930850239875,1198.7077263287038,51.039300389413675,27.05534142120181,-0.2154645331691838,0.0002957365757789273
Avenue Supermarts Ltd.,4674.10009765625,27376,-3.5008771243710832,32.90398041453932,18.216580620778853,4729.892551452428,25.16075666180849,0.0,-0.32882292770477406,-0.00011996494879012338
Axis Bank Ltd.,1172.949951171875,936678,-0.18930272880201926,35.162630238676925,3.739789036963171,1143.7730950937464,59.99872053472937,64.91198012592625,-0.21315939862312305,0.0002499976526369236
BSE Ltd.,2726.25,76752,5.739082718456427,56.12531631075087,14.339149900576093,2708.709737415143,69.61681293471365,71.875,-1.7153867693316762,6.466173171177172e-05
Bajaj Auto Ltd.,8948.2001953125,44049,-4.181749171463842,23.83932143336602,30.55707464140782,8876.900465592953,50.34513286580406,41.05751560530352,-2.667091449974773,8.008093052743723e-05
Bajaj Finance Ltd.,6836.89990234375,57655,-6.611724056866624,22.281664893217492,19.49558768899623,6775.516566558243,42.86888032240444,28.267499758828723,-0.5335511607911112,9.02335790205492e-05
Bajaj Finserv Ltd.,1601.699951171875,55695,-1.3515987872779678,23.343958332060616,4.321088134777127,1591.6560403858737,41.21011465020651,29.00712854680147,0.013239617788727953,6.302293193002854e-05
Bajaj Holdings & Investment Ltd.,8035.14990234375,3608,-1.61937701528786,33.07610577834028,16.536593693525678,8188.338209246599,16.591222491081382,25.477707006369428,0.21691333652102074,-0.0001916057562844502
Balkrishna Industries Ltd.,3043.85009765625,19508,-0.9171146956073786,31.590796265921902,19.797432863245014,2868.522382070968,45.94442948530411,25.12081710398674,-1.2308876588880233,0.0005789009107837283
Bandhan Bank Ltd.,186.3000030517578,531995,-0.10528544502547757,24.86142157216225,0.6730873080650742,185.1661445171755,42.5747004932233,43.1374426300137,-0.037588942036573286,6.116780984955817e-05
